gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3759815472	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92844280/original.jpg	https://www.inaturalist.org/photos/92844280					2020-08-27T11:23:56Z	puertoadventures		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	puertoadventures
3759661484	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185615206/original.jpeg	https://www.inaturalist.org/photos/185615206					2022-03-30T15:50:41Z	Elias Arcadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elias Arcadia
3759661484	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185615173/original.jpeg	https://www.inaturalist.org/photos/185615173					2022-03-30T14:51:29Z	Elias Arcadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elias Arcadia
3759661484	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185615113/original.jpeg	https://www.inaturalist.org/photos/185615113					2022-03-30T14:54:36Z	Elias Arcadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elias Arcadia
3759661484	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185615195/original.jpeg	https://www.inaturalist.org/photos/185615195					2022-03-30T15:50:37Z	Elias Arcadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elias Arcadia
3759661484	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185615139/original.jpeg	https://www.inaturalist.org/photos/185615139					2022-03-30T14:54:32Z	Elias Arcadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elias Arcadia
3747240064	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/184097690/original.jpeg	https://www.inaturalist.org/photos/184097690					2022-03-21T17:59:00Z	Guillermo Gassos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Guillermo Gassos
3747240064	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/184080346/original.jpeg	https://www.inaturalist.org/photos/184080346					2022-03-21T18:59:40Z	Guillermo Gassos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Guillermo Gassos
3747240064	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/184097704/original.jpeg	https://www.inaturalist.org/photos/184097704					2022-03-21T17:59:00Z	Guillermo Gassos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Guillermo Gassos
3747048063	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/183945332/original.jpg	https://www.inaturalist.org/photos/183945332					2022-03-17T20:27:06Z	Yabal Alfaro Castillo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Yabal Alfaro Castillo
